city_name,population,country_code,timezone,latitude,longitude
Palermo,648260,IT,Europe/Rome,38.1166,13.3636
Palhoça,175272,BR,America/Sao_Paulo,-27.64528,-48.66778
Pallabi,597574,BD,Asia/Dhaka,23.825,90.37
Pallāvaram,157145,IN,Asia/Kolkata,12.96796,80.15025
Palm Bay,119760,US,America/New_York,28.03446,-80.58866
Palma,409661,ES,Europe/Madrid,39.56939,2.65024
Palma Soriano,102826,CU,America/Havana,20.2113,-75.99362
Palmas,306296,BR,America/Araguaina,-10.16745,-48.32766
Palmdale,158351,US,America/Los_Angeles,34.57943,-118.11646
Palmira,312519,CO,America/Bogota,3.53944,-76.30361
Palo Negro,128875,VE,America/Caracas,10.17389,-67.54194
Palopo,190867,ID,Asia/Makassar,-2.9925,120.19694
Paltan,184492,BD,Asia/Dhaka,23.73625,90.41426
Palu,373218,ID,Asia/Makassar,-0.90833,119.87083
Palwal,131926,IN,Asia/Kolkata,28.14469,77.32546
Pamanukan,114290,ID,Asia/Jakarta,-6.28417,107.81056
Pamplona,209672,ES,Europe/Madrid,42.81687,-1.64323
Pamulang,174557,ID,Asia/Jakarta,-6.34278,106.73833
Panalanoy,189090,PH,Asia/Manila,11.25111,125.00639
Panamá,408168,PA,America/Panama,8.9936,-79.51973
Panchkula,211355,IN,Asia/Kolkata,30.69461,76.8504
Pangkalpinang,216893,ID,Asia/Jakarta,-2.12914,106.11377
Panipat,295970,IN,Asia/Kolkata,29.38747,76.96825
Panshan,625040,CN,Asia/Shanghai,41.18806,122.04944
Panvel,128046,IN,Asia/Kolkata,18.98878,73.11013
Panzhihua,787177,CN,Asia/Shanghai,26.58509,101.71276
